month,interest,inflation,output
Jan-00,4.77,1.9,26.29424663
Feb-00,5,1.8,22.45813661
Mar-00,5.1,2.1,20.51421178
Apr-00,5.1,1.4,19.87345864
May-00,5.13,1.1,18.83095986
Jun-00,5.14,2.2,17.03184119
Jul-00,5.16,3,17.58209922
Aug-00,5.17,2.4,20.16562085
Sep-00,5.16,3.5,12.60135348
Oct-00,5.36,2.6,11.45771708
Nov-00,5.38,2.2,5.001042057
Dec-00,5.39,2.8,4.625101765
Jan-01,5.32,3.4,2.285813808
Feb-01,5.13,3.6,0.573067471
Mar-01,5.03,4,1.518055718
Apr-01,5.01,4.8,3.053672386
May-01,5.02,5.3,0.186393344
Jun-01,5.02,5,0.938974035
Jul-01,4.81,4.8,-4.067103973
Aug-01,4.6,4.7,-3.426845683
Sep-01,4.33,3.3,-1.098912158
Oct-01,4.02,3.4,0.731264685
Nov-01,4.03,3.4,2.592737826
Dec-01,4.01,3.2,1.495354967
Jan-02,3.99,2.6,4.600627301
Feb-02,4.02,2.6,7.342746855
Mar-02,4.03,2.3,8.134563945
Apr-02,4.03,2.5,8.810726751
May-02,4.26,3,6.663130181
Jun-02,4.31,2.6,5.101288124
Jul-02,4.29,2.1,9.702397628
Aug-02,4.31,2.4,8.272084022
Sep-02,4.33,3.1,6.93611278
Oct-02,4.33,2.8,7.540819337
Nov-02,4.31,3.5,8.746831097
Dec-02,4.33,3.7,12.04593111
Jan-03,4.3,3.8,7.114881914
Feb-03,4.32,3.9,5.843586697
Mar-03,4.25,4.5,4.912079733
Apr-03,4.26,3.7,2.381064869
May-03,4.09,3.2,2.749314058
Jun-03,4.03,3,7.194882989
Jul-03,3.85,3.2,-0.171379648
Aug-03,3.77,3,3.322564763
Sep-03,3.76,3.3,7.1281202
Oct-03,3.77,3.7,7.952282204
Nov-03,3.8,3.4,6.642116995
Dec-03,3.79,3.4,7.903004936
Jan-04,3.8,3.4,10.03227216
Feb-04,3.78,3.3,12.53595294
Mar-04,3.77,3.1,10.35406789
Apr-04,3.77,3.3,12.61512853
May-04,3.77,3.3,14.34397692
Jun-04,3.78,3.6,9.606121251
Jul-04,3.78,4.4,12.25363482
Aug-04,3.62,4.8,8.905177762
Sep-04,3.53,3.9,8.581065641
Oct-04,3.53,3.8,5.906334125
Nov-04,3.36,3.3,7.980154042
Dec-04,3.28,3,4.021390694
Jan-05,3.27,3.4,6.595796779
Feb-05,3.27,3.4,1.462014345
Mar-05,3.25,3,5.226152892
Apr-05,3.26,3.1,3.493805136
May-05,3.3,3.1,2.178735418
Jun-05,3.28,2.8,5.548868562
Jul-05,3.25,2.6,7.313199203
Aug-05,3.25,2,6.088836968
Sep-05,3.25,2.5,5.011786081
Oct-05,3.44,2.3,7.368771579
Nov-05,3.5,2.5,10.04279654
Dec-05,3.69,2.6,8.932014525
Jan-06,3.75,2.2,10.49348932
Feb-06,3.92,2,9.412198242
Mar-06,3.98,2,8.275906725
Apr-06,3.97,2,8.366769105
May-06,3.96,2.3,10.7513369
Jun-06,4.16,2.4,8.831261335
Jul-06,4.21,2.4,2.781820548
Aug-06,4.42,2.7,9.518231074
Sep-06,4.48,2.5,10.34032943
Oct-06,4.48,2.2,12.08142596
Nov-06,4.47,2.1,7.073655109
Dec-06,4.49,2.1,5.202733733
Jan-07,4.63,1.7,2.022824978
Feb-07,4.6,2.2,6.272048907
Mar-07,4.6,2.2,3.455238151
Apr-07,4.68,2.5,6.248048378
May-07,4.62,2.3,5.52210545
Jun-07,4.54,2.5,6.299311435
Jul-07,4.67,2.5,12.49210415
Aug-07,4.91,2,8.690480695
Sep-07,4.97,2.3,5.750819873
Oct-07,5,3,6.446285242
Nov-07,5,3.5,7.402086035
Dec-07,4.99,3.6,10.45997701
Jan-08,4.99,3.9,11.34627725
Feb-08,4.97,3.6,10.25028384
Mar-08,4.97,3.9,11.62444662
Apr-08,4.99,4.1,10.54841174
May-08,4.99,4.9,8.650249702
Jun-08,4.93,5.5,8.313737887
