month	inflation	WTI
200312	3.4	18.4
200401	3.4	12.4
200402	3.3	6.5
200403	3.1	6.2
200404	3.3	10.2
200405	3.3	11.7
200406	3.6	12.6
200407	4.4	15.1
200408	4.8	17.3
200409	3.9	23.5
200410	3.8	29.4
200411	3.3	33.6
200412	3.0	36.1
200501	3.4	40.0
200502	3.4	43.8
200503	3.0	47.1
200504	3.1	46.0
200505	3.1	45.7
200506	2.8	48.2
200507	2.6	47.9
200508	2.0	50.3
200509	2.5	47.2
200510	2.3	42.0
200511	2.5	38.4
200512	2.6	39.0
200601	2.2	38.6
200602	2.0	36.6
200603	2.0	33.7
200604	2.0	35.0
200605	2.3	35.5
200606	2.4	33.6
200607	2.4	32.3
200608	2.7	27.2
200609	2.5	24.0
200610	2.2	22.5
200611	2.1	21.9
200612	2.1	18.5
200701	1.7	13.9
200702	2.2	12.3
200703	2.2	10.6
200704	2.5	5.9
200705	2.3	2.0
200706	2.5	-0.9
200707	2.5	-2.4
200708	2.0	-2.2
200709	2.3	0.8
200710	3.0	6.0
200711	3.5	8.7
200712	3.6	13.4
200801	3.9	19.4
200802	3.6	24.8
200803	3.9	29.4
200804	4.1	36.2
200805	4.9	45.2
200806	5.5	53.9
200807	5.9	58.4
200808	5.6	62.6
200809	5.1	62.0
200810	4.8	54.6
200811	4.5	47.9
200812	4.1	38.7
200901	3.7	29.4
200902	4.1	19.3
200903	3.9	10.5
200904	3.6	-0.1
200905	2.7	-12.3
200906	2.0	-24.8
200907	1.6	-33.4
200908	2.2	-41.4
200909	2.2	-45.8
200910	2.0	-42.4
200911	2.4	-35.6
200912	2.8	-24.6
201001	3.5	-13.9
201002	3.0	-2.7
201003	2.5	7.2
201004	2.6	17.5
201005	2.7	22.5
201006	2.7	27.5
201007	2.5	32.3
201008	2.7	35.9
201009	3.4	39.6
201010	3.7	39.0
201011	3.0	36.2
201012	3.0	31.0
201101	3.4	27.0
201102	3.9	22.3
201103	4.1	19.0
201104	3.8	16.0
201105	3.9	18.2
201106	4.2	19.5
201107	4.5	20.2
201108	4.7	21.9
201109	3.8	20.6
201110	3.6	21.4
201111	4.2	22.1
201112	4.2	21.5
201201	3.4	19.9
201202	3.1	18.9
201203	2.6	16.3
201204	2.5	13.0
201205	2.5	8.5
201206	2.2	5.4
201207	1.5	2.9
